radio,mcc,mnc,lac_tac,cid,psc_pci,lon,lat,range,samples,changeable,created,updated,avg_signal,operator,tech
LTE,272,5,42001,1510736,-1,-8.4588,52.6124,1096,42,1,1759803968,1762605963,0,Three,4G
LTE,272,5,42001,1876048,-1,-8.4099,52.5933,1000,7,1,1762584444,1762605963,0,Three,4G
LTE,272,5,42300,1007362,-1,-8.5245,52.6485,1000,13,1,1759804388,1759833783,0,Three,4G
LTE,272,5,42300,1007367,-1,-8.4824,52.6359,1000,3,1,1759804188,1759833783,0,Three,4G
LTE,272,5,42300,1007368,-1,-8.508,52.6431,2086,18,1,1759804178,1759833783,0,Three,4G
LTE,272,5,42300,1007442,-1,-8.5301,52.6508,1000,6,1,1759804448,1759833783,0,Three,4G
LTE,272,5,42300,1017118,-1,-8.5545,52.6723,1000,8,1,1759804928,1759833784,0,Three,4G
LTE,272,5,42300,1017119,-1,-8.5759,52.6519,1000,3,1,1762583794,1762605962,0,Three,4G
LTE,272,5,42300,1271047,-1,-8.5908,52.6576,1000,7,1,1762583654,1762605962,0,Three,4G
LTE,272,5,42300,1271070,-1,-8.5946,52.6625,1000,7,1,1762583574,1762605962,0,Three,4G
LTE,272,5,42300,1271071,-1,-8.5946,52.659,1000,17,1,1762583594,1762605962,0,Three,4G
LTE,272,5,42300,1271072,-1,-8.5982,52.6638,1000,19,1,1762583524,1762605962,0,Three,4G
LTE,272,5,42300,1283840,-1,-8.5368,52.6679,1000,10,1,1759804620,1759833783,0,Three,4G
LTE,272,5,42300,1283861,-1,-8.5325,52.6649,1000,12,1,1759804558,1759833783,0,Three,4G
LTE,272,5,42300,1283862,-1,-8.5325,52.6609,1000,6,1,1759804538,1759833783,0,Three,4G
LTE,272,5,42300,1283920,-1,-8.5337,52.6671,1000,2,1,1759804608,1759833783,0,Three,4G
LTE,272,5,42300,1293575,-1,-8.6075,52.6653,1000,1,1,1762583364,1762583364,0,Three,4G
LTE,272,5,42300,1293598,-1,-8.6151,52.67,1000,23,1,1762583184,1762605962,0,Three,4G
LTE,272,5,42300,1293599,-1,-8.609,52.6666,1000,17,1,1762583254,1762605962,0,Three,4G
LTE,272,5,42300,1342728,-1,-8.5885,52.6572,1000,6,1,1762583674,1762605962,0,Three,4G
LTE,272,5,42300,1342750,-1,-8.5814,52.6548,511,35,1,1762583694,1762605962,0,Three,4G
LTE,272,5,42300,1342751,-1,-8.5705,52.6493,545,33,1,1762583804,1762605962,0,Three,4G
LTE,272,5,42300,1675777,-1,-8.5543,52.6442,591,26,1,1762583904,1762605962,0,Three,4G
LTE,272,5,42300,1675783,-1,-8.5616,52.6466,1000,8,1,1762583884,1762605962,0,Three,4G
LTE,272,5,42300,1675856,-1,-8.5336,52.6583,1000,6,1,1759804518,1759833783,0,Three,4G
LTE,272,5,42300,1766656,-1,-8.5398,52.6449,1098,14,1,1759804468,1762605962,0,Three,4G
LTE,272,5,42300,1766657,-1,-8.5328,52.6373,1000,24,1,1762583984,1762605962,0,Three,4G
LTE,272,5,42300,1766663,-1,-8.5135,52.6318,2501,36,1,1759804128,1762605962,0,Three,4G
LTE,272,5,42300,1766736,-1,-8.5337,52.6556,1000,5,1,1759804498,1759833783,0,Three,4G
LTE,272,5,42300,258817,0,-8.6048,52.6859,1000,4,1,1486428725,1762605961,0,Three,4G
LTE,272,5,42300,258818,0,-8.6133,52.6765,1259,24,1,1477352742,1762605962,0,Three,4G
LTE,272,5,42300,258823,-1,-8.6068,52.6846,712,38,1,1762581234,1762605962,0,Three,4G
LTE,272,5,42300,297984,0,-8.4865,52.6233,7735,31,1,1481375155,1762605962,0,Three,4G
LTE,272,5,42300,297990,0,-8.5012,52.6308,7801,28,1,1527581737,1762605962,0,Three,4G
LTE,272,5,42300,310023,-1,-8.5971,52.6888,1000,15,1,1762581604,1762605962,0,Three,4G
LTE,272,5,42300,874497,-1,-8.5428,52.6726,1000,16,1,1759804688,1759833784,0,Three,4G
LTE,272,5,42300,874498,-1,-8.5506,52.6725,1000,5,1,1759804778,1759833784,0,Three,4G
LTE,272,5,42300,874499,-1,-8.5532,52.6717,1000,5,1,1759804849,1759833784,0,Three,4G
LTE,272,5,42300,874505,-1,-8.5532,52.6733,1000,6,1,1759804968,1759833784,0,Three,4G
LTE,272,5,42300,939264,-1,-8.6072,52.6649,1000,3,1,1762583354,1762605962,0,Three,4G
LTE,272,5,42300,939270,-1,-8.6058,52.6863,1000,1,1,1762581223,1762581223,0,Three,4G
LTE,272,5,42300,939284,-1,-8.6038,52.6644,1000,3,1,1762583494,1762605962,0,Three,4G
LTE,272,5,42300,939294,-1,-8.6045,52.6644,1000,11,1,1762583414,1762605962,0,Three,4G
LTE,272,5,42300,939344,-1,-8.6073,52.665,1000,4,1,1762583304,1762605962,0,Three,4G
LTE,272,5,42300,94464,0,-8.5806,52.6861,1000,23,1,1486428725,1762605962,0,Three,4G
LTE,272,5,42300,94466,0,-8.592,52.6873,949,34,1,1486428725,1762605962,0,Three,4G
LTE,272,5,42300,94472,-1,-8.5891,52.6876,821,36,1,1762581574,1762605962,0,Three,4G
