National_Series_Id,National_Series,Red_Value,Green_Value,Blue_Value,Live
0656GH,Garryhinch Series 3,204,153,255,DEAD
0660BH,Bawnrush,204,153,255,DEAD
0660BK,Ballyknockan,204,153,255,LIVE
0660BM,Ballymacart,204,153,255,DEAD
0660BO,Belmount,204,153,255,DEAD
0660BU,Ballinrush,204,153,255,DEAD
0660BW,Ballywilliam,204,153,255,LIVE
0660CL,Callan,204,153,255,LIVE
0660CW,Clowater,204,153,255,DEAD
0660DG,Derrygarren,204,153,255,DEAD
0660GH,Glassheenahielan,204,153,255,DEAD
0660KM,Knockmullgurry,204,153,255,DEAD
0660KT,Knuttery,204,153,255,LIVE
0660LT,Letter,204,153,255,DEAD
0660NGG10,NGG10,204,153,255,DEAD
0660NGG13,NGG13,204,153,255,DEAD
0660NN,Noonan,204,153,255,LIVE
0660NT,Newtown,204,153,255,LIVE
0660OL,Oulartleigh,204,153,255,DEAD
0660PU,Puckane ,204,153,255,LIVE
0660PUA,Puckane Alkaline Parent Material Phase,204,153,255,DEAD
0660PUP,Puckane Peaty Phase,204,153,255,DEAD
0660PUS,Puckane Slightly Peaty Phase,204,153,255,DEAD
0660RK,Roosky,204,153,255,LIVE
0660RL,Raheenleigh,204,153,255,DEAD
0660S04,Soil 4,204,153,255,DEAD
0660S04a,Soil 4a,204,153,255,DEAD
0660S04b,Soil 4b,204,153,255,DEAD
0660S05,Soil 5,204,153,255,DEAD
0660S05a,Soil 5a,204,153,255,DEAD
0660S05b,Soil 5b,204,153,255,DEAD
0660S09,Soil 9,204,153,255,DEAD
0660SB,Slieve Bloom,204,153,255,DEAD
0660SBS,Slieve Bloom steep Phase,204,153,255,DEAD
0660SBU,Slieve Bloom undulating Phase,204,153,255,DEAD
0660TB,Toberbride,204,153,255,DEAD
0660TK,Tourmakeady,204,153,255,LIVE
0660TS,Templeshanbo,204,153,255,DEAD
0660TV,Tallavbaun,204,153,255,DEAD
0660TVB,Tallavbaun Bouldery Phase,204,153,255,DEAD
0660TVP,Tallavbaun Peaty Phase,204,153,255,DEAD
0660UN44,UNnamed_44 ,204,153,255,DEAD
0660UN61,UNnamed_61,204,153,255,DEAD
0690KOA,Knockroe anthropic,204,153,255,LIVE
0700AB,Ashbourne,141,180,226,DEAD
0700ABS,Ashbourne Shaley Phase,141,180,226,DEAD
0700AF,Abbeyfeale,141,180,226,DEAD
0700AFN,Abbeyfeale non-peaty phase,141,180,226,DEAD
0700AFS,Abbeyfeale Sandy phase,141,180,226,DEAD
0700AFU,Abbeyfeale Undulating phase,141,180,226,DEAD
0700BB,Ballybrannagh,141,180,226,LIVE
0700BH,Ballyhaise,141,180,226,DEAD
0700BP,Ballypierce Variant,141,180,226,DEAD
0700BY,Ballyphilip,141,180,226,LIVE
0700CH,Clohernagh,141,180,226,DEAD
0700CK,Coolykereen,141,180,226,LIVE
0700DK,Drumkeeran,141,180,226,LIVE
0700DKP,Drumkeeran Peaty phase,141,180,226,DEAD
0700GS,Garristown,141,180,226,DEAD
0700GV,Garvagh,141,180,226,DEAD
0700KC,Kilcommon,141,180,226,DEAD
0700KCR,Kilcreen,141,180,226,LIVE
0700KD,Killadangan,141,180,226,DEAD
0700KR,Kilrush,141,180,226,LIVE
0700KT,Kiltyclogher,141,180,226,DEAD
0700LC,Lismeelcunnin,141,180,226,LIVE
0700MC,Macamore,141,180,226,LIVE
0700NSG1,NSG1,141,180,226,DEAD
0700NSG7,NSG7,141,180,226,DEAD
0700NSG8,NSG8,141,180,226,DEAD
0700NW,Newport,141,180,226,LIVE
0700PN,Parknakyle,141,180,226,DEAD
