National_Series_Id,National_Series,Modern_Definition,Texture,Substrate_Type,Substrate_1,Substrate_2,Subgroup_Name,GreatGroup_Name,Red_Value,Green_Value,Blue_Value,PhotoArray,Live,Modern_Correlative_Code,Modern_Correlative_Name,RepProfileCount,series_id
0460RN,Rineanna,Decalcified loamy over lithoskeletal limestone,Loamy,over lithoskeletal limestone,bedrock,limestone,Humic Lithosols,Lithosol,153,51,0,"['RPG63OS01_P1100124.JPG', 'RPG63OS01_P1100126.JPG']",LIVE,0460RN,Rineanna,1,0460RN
0500BO,Boyne,Silty river alluvium,Silty,river alluvium,alluvium,river,Typical Alluvial Gleys,Alluvial,0,204,255,[],LIVE,0500BO,Boyne,0,0500BO
0500GT,Gurteen,Loamy lake alluvium,Loamy,lake alluvium,alluvium,lake,Typical Alluvial Gleys,Alluvial,0,204,255,[],LIVE,0500GT,Gurteen,0,0500GT
0500KG,Kilgory,Sandy river alluvium,Sandy,river alluvium,alluvium,river,Typical Alluvial Gleys,Alluvial,0,204,255,[],LIVE,0500KG,Kilgory,1,0500KG
0500KK,Kilmannock,Silty estuarine alluvium,Silty,estuarine alluvium,alluvium,estuarine,Typical Alluvial Gleys,Alluvial,0,204,255,[],LIVE,0500KK,Kilmannock,1,0500KK
0500LG,Lurganboy,Loamy marine alluvium,Loamy,marine alluvium,alluvium,alluvium,Typical Alluvial Gleys,Alluvial,0,204,255,"['RPO18BR01_P1020936.JPG', 'RPO18BR01_P1020940.JPG', 'RPO18BR02_IMG_1231.jpg', 'RPO18BR02_P1020945.JPG']",LIVE,0500LG,Lurganboy,1,0500LG
0500LY,Lyre,Loamy river alluvium,Loamy,river alluvium,alluvium,river,Typical Alluvial Gleys,Alluvial,0,204,255,"['RPR91BR01_P1100248.JPG', 'RPR91BR01_P1100258.JPG']",LIVE,0500LY,Lyre,1,0500LY
0500VI,Vicarstown,Clayey river alluvium,Clayey,river alluvium,alluvium,river,Typical Alluvial Gleys,Alluvial,0,204,255,[],LIVE,0500VI,Vicarstown,1,0500VI
0550DU,Dunsany,Clayey lake marl,Clayey,lake marl,alluvium,lake,Typical Calacareous Alluvial Gleys,Alluvial,0,204,255,[],LIVE,0550DU,Dunsany,1,0550DU
0550KS,Kilmore Slob,Sandy marine alluvium,Sandy,marine alluvium,alluvium,alluvium,Typical Calacareous Alluvial Gleys,Alluvial,0,204,255,[],LIVE,0550KS,Kilmore Slob,1,0550KS
0550KSV,Kilmore slob variant,Clayey marine alluvium,Clayey,marine alluvium,alluvium,alluvium,Typical Calacareous Alluvial Gleys,Alluvial,0,204,255,[],LIVE,0550KSV,Kilmore slob variant,1,0550KSV
0551AH,Abhainn,Peat over lake alluvium,Peat,over lake alluvium,alluvium,lake,Histic Calcareous Alluvial Soils,Alluvial,0,204,255,"['RPM99GJ01_DSCN0458.JPG', 'RPM99GJ01_DSCN0471.JPG']",LIVE,0551AH,Abhainn,1,0551AH
0556CF,Cornafulla,Loamy river alluvium,Loamy,river alluvium,alluvium,river,Humic Calcareous Alluvial Gleys,Alluvial,0,204,255,"['RPM93BR01_P1100425.JPG', 'RPM93BR01_P1100432.JPG']",LIVE,0556CF,Cornafulla,1,0556CF
0556CN,Coolaknick,Silty lake alluvium,Silty,lake alluvium,alluvium,lake,Humic Calcareous Alluvial Gleys,Alluvial,0,204,255,[],LIVE,0556CN,Coolaknick,1,0556CN
0556DR,Drombanny,Loamy lake alluvium marl,Loamy,lake marl,alluvium,lake,Humic Calcareous Alluvial Gleys,Alluvial,0,204,255,"['RPR50BR01_P1100228.JPG', 'RPR50BR01_P1100237.JPG']",LIVE,0556DR,Drombanny,1,0556DR
0560AG,Ardglass,Loamy lake alluvium,Loamy,lake alluvium,alluvium,lake,Humic Alluvial Gleys,Alluvial,0,204,255,"['RPR41BR02_P1030255.JPG', 'RPR41BR02_P1030262.JPG']",LIVE,0560AG,Ardglass,1,0560AG
0560CA,Camoge,Clayey river alluvium,Clayey,river alluvium,alluvium,river,Humic Alluvial Gleys,Alluvial,0,204,255,[],LIVE,0560CA,Camoge,1,0560CA
0560CL,Coolalough,Clayey lake alluvium,Clayey,lake alluvium,alluvium,lake,Humic Alluvial Gleys,Alluvial,0,204,255,[],LIVE,0560CL,Coolalough,1,0560CL
0560FA,Feale,Silty river alluvium,Silty,river alluvium,alluvium,river,Humic Alluvial Gleys,Alluvial,0,204,255,[],LIVE,0560FA,Feale,1,0560FA
0560GR,Griston,Sandy lake alluvium,Sandy,lake alluvium,alluvium,lake,Humic Alluvial Gleys,Alluvial,0,204,255,[],LIVE,0560GR,Griston,1,0560GR
0560KC,Kilcullen,Loamy river alluvium,Loamy,river alluvium,alluvium,river,Humic Alluvial Gleys,Alluvial,0,204,255,"['RPW48BR07_P1100159.JPG', 'RPW48BR07_P1100168.JPG']",LIVE,0560KC,Kilcullen,1,0560KC
0560MQ,Millquarter,Silty lake alluvium,Silty,lake alluvium,alluvium,lake,Humic Alluvial Gleys,Alluvial,0,204,255,[],LIVE,0560MQ,Millquarter,1,0560MQ
0560WS,Wexford slob,Silty marine alluvium,Silty,marine alluvium,alluvium,alluvium,Humic Alluvial Gleys,Alluvial,0,204,255,[],LIVE,0560WS,Wexford slob,1,0560WS
0570AH,Aherlow,Sandy river alluvium ,Sandy,river alluvium,alluvium,river,Typical Brown Alluvial Soils,Alluvial,0,204,255,[],LIVE,0570AH,Aherlow,1,0570AH
0570CN,Clohamon,Loamy river alluvium ,Loamy,river alluvium,alluvium,river,Typical Brown Alluvial Soils,Alluvial,0,204,255,[],LIVE,0570CN,Clohamon,1,0570CN
0570FI,Finisk,Fine loamy over non-calcareous gravels,Fine loamy,over non-calcareous gravels,bedrock,non-calcareous gravels,Typical Brown Alluvial Soils,Alluvial,0,204,255,"['RPX19BR01_P1100290.JPG', 'RPX19BR01_P1100300.JPG']",LIVE,0570FI,Finisk,1,0570FI
0570SU,Suir,Silty river alluvium ,Silty,river alluvium,alluvium,river,Typical Brown Alluvial Soils,Alluvial,0,204,255,"['RPQ93BR01_P1030032.JPG', 'RPQ93BR01_P1030042.JPG', 'RPQ93BR01_P1030043.JPG']",LIVE,0570SU,Suir,1,0570SU
0600GL,Glandine,Loamy over sandstone bedrock,Loamy,over sandstone bedrock,bedrock,sandstone,Typical Groundwater Gleys,Groundwater Gley,204,153,255,"['RPW48BR05_P1090734.JPG', 'RPW48BR05_P1090742.JPG', 'RPW48GJ02_P1030975 part of it.JPG']",LIVE,0600GL,Glandine,1,0600GL
0600KO,Knockroe,Coarse loamy drift with siliceous stones,Coarse loamy,drift with siliceous stones,drift,siliceous stones,Typical Groundwater Gleys,Groundwater Gley,204,153,255,"['RPQ80GJ01_DSCN0797.JPG', 'RPQ80GJ01_DSCN0810.JPG', 'RPV89BR01_P1030127.JPG', 'RPV89BR01_P1030134.JPG']",LIVE,0600KO,Knockroe,1,0600KO
0600KP,Kilpierce,Fine loamy drift with siliceous stones,Fine loamy,drift with siliceous stones,drift,siliceous stones,Typical Groundwater Gleys,Groundwater Gley,204,153,255,[],LIVE,0600KP,Kilpierce,1,0600KP
0600LG,Lissagriffin,Coarse loamy over shale bedrock,Coarse loamy,over shale bedrock,bedrock,shale,Typical Groundwater Gleys,Groundwater Gley,204,153,255,"['RPV72BR01_P1090811.JPG', 'RPV72BR01_P1090820.JPG']",LIVE,0600LG,Lissagriffin,1,0600LG
0610AG,Annagh,Coarse loamy drift with siliceous stones,Coarse loamy,drift with siliceous stones,drift,siliceous stones,Histic Groundwater Gleys,Groundwater Gley,204,153,255,"['RPQ80BR02_P1030146.JPG', 'RPQ80BR02_P1030150.JPG', 'RPW14BR01_P1090787.JPG', 'RPW14BR01_P1090794.JPG']",LIVE,0610AG,Annagh,1,0610AG
0610DN,Derrynasaggart,Coarse loamy over sandstone bedrock,Coarse loamy,over sandstone bedrock,bedrock,sandstone,Histic Groundwater Gleys,Groundwater Gley,204,153,255,['RPW17BR02_P1090659.JPG'],LIVE,0610DN,Derrynasaggart,1,0610DN
0630GE,Greenane,Loamy drift with limestones,Loamy,drift with limestones,drift,limestones,Typical Undifferentiated Gleys,Groundwater Gley,204,153,255,"['RPQ82BR01_P1030023-2.JPG', 'RPQ82BR01_P1030028.JPG']",LIVE,0630GE,Greenane,1,0630GE
0630HT,Heathtown,Fine loamy drift with siliceous stones,Fine loamy,drift with siliceous stones,drift,siliceous stones,Typical Undifferentiated Gleys,Groundwater Gley,204,153,255,"['RPQ93BR02_P1030045-2.JPG', 'RPQ93BR02_P1030052.JPG']",LIVE,0630HT,Heathtown,1,0630HT
0636BR,Bree,Coarse loamy drift igneous and metamorphic stones,Coarse loamy,drift igneous and metamorphic stones,drift,igneous and metamorphic stones,Humic Undifferentiated Gleys,Groundwater Gley,204,153,255,"['RPC45BR01_P1090840.JPG', 'RPC45BR01_P1090847.JPG', 'RPG96BR01_P1100033.JPG']",LIVE,0636BR,Bree,1,0636BR
0636CL,Corlea,Fine loamy drift with siliceous stones,Fine loamy,drift with siliceous stones,drift,siliceous stones,Humic Undifferentiated Gleys,Groundwater Gley,204,153,255,"['RPN79GJ01_DSCN0201.JPG', 'RPN79GJ01_DSCN0225.JPG']",LIVE,0636CL,Corlea,1,0636CL
0650CS,Clonaslee,Loamy over calcareous gravels,Loamy,over calcareous gravels,bedrock,calcareous gravels,Calcareous Groundwater Gleys,Groundwater Gley,204,153,255,[],LIVE,0650CS,Clonaslee,0,0650CS
0650MT,Mylerstown,Loamy drift with limestones,Loamy,drift with limestones,drift,limestones,Calcareous Groundwater Gleys,Groundwater Gley,204,153,255,"['RPO24BR02_P1020889.JPG', 'RPO24BR02_P1020894.JPG']",LIVE,0650MT,Mylerstown,1,0650MT
0651CL,Cloonmore,Fine loamy over limestone bedrock,Fine loamy,over limestone bedrock,bedrock,limestone,Histic Calcareous Groundwater Gleys,Groundwater Gley,204,153,255,"['RPN07GJ01_DSCN0512.JPG', 'RPN07GJ01_DSCN0517.JPG']",LIVE,0651CL,Cloonmore,1,0651CL
0656BS,Ballyshear,Fine loamy drift with limestones,Fine loamy,drift with limestones,drift,limestones,Humic Calcareous Groundwater Gleys,Groundwater Gley,204,153,255,[],LIVE,0656BS,Ballyshear,1,0656BS
