National_Series_Id,National_Series,Modern_Definition,Texture,Substrate_Type,Substrate_1,Substrate_2,Subgroup_Name,GreatGroup_Name,Red_Value,Green_Value,Blue_Value,PhotoArray,Live,Modern_Correlative_Code,Modern_Correlative_Name,RepProfileCount,series_id
0656BT,Ballintemple,Coarse loamy drift with limestones,Coarse loamy,drift with limestones,drift,limestones,Humic Calcareous Groundwater Gleys,Groundwater Gley,204,153,255,[],LIVE,0656BT,Ballintemple,1,0656BT
0660BK,Ballyknockan,Sandy stoneless drift,Sandy,stoneless  drift ,drift,stoneless,Humic Groundwater Gleys,Groundwater Gley,204,153,255,[],LIVE,0660BK,Ballyknockan,1,0660BK
0660BW,Ballywilliam,Coarse loamy drift with igneous and metamorphic stones,Coarse loamy,drift igneous and metamorphic stones,drift,igneous and metamorphic stones,Humic Groundwater Gleys,Groundwater Gley,204,153,255,"['RPC42BR03_P1090860.JPG', 'RPC42BR03_P1090868.JPG']",LIVE,0660BW,Ballywilliam,1,0660BW
0660CL,Callan,Loamy over gneiss and schist bedrock,Loamy,over gneiss and schist bedrock,bedrock,gneiss and schist,Humic Groundwater Gleys,Groundwater Gley,204,153,255,"['RPC10BR01_P1090953.JPG', 'RPC10BR01_P1090962.JPG']",LIVE,0660CL,Callan,1,0660CL
0660KT,Knuttery,Loamy over sandstone and shale bedrock,Loamy,over sandstone and shale bedrock,bedrock,sandstone and shale,Humic Groundwater Gleys,Groundwater Gley,204,153,255,"['RPW69BR02_P1090750.JPG', 'RPW69BR02_P1090758.JPG']",LIVE,0660KT,Knuttery,1,0660KT
0660NN,Noonan,Fine silty drift with siliceous stones,Fine silty,drift with siliceous stones,drift,siliceous stones,Humic Groundwater Gleys,Groundwater Gley,204,153,255,"['RPR31BR01_P1030297.JPG', 'RPR31BR01_P1030306.JPG']",LIVE,0660NN,Noonan,1,0660NN
0660NT,Newtown,Coarse loamy drift with limestones,Coarse loamy,drift with limestones,drift,limestones,Humic Groundwater Gleys,Groundwater Gley,204,153,255,[],LIVE,0660NT,Newtown,1,0660NT
0660PU,Puckane ,Coarse loamy drift with siliceous stones,Coarse loamy,drift with siliceous stones,drift,siliceous stones,Humic Groundwater Gleys,Groundwater Gley,204,153,255,"['RPC64BR01_P1030924.JPG', 'RPC64BR01_P1030931.JPG', 'RPV37BR01_P1030191.JPG', 'RPV37BR01_P1030198.JPG']",LIVE,0660PU,Puckane ,1,0660PU
0660RK,Roosky,Fine loamy drift with limestones,Fine loamy,drift with limestones,drift,limestones,Humic Groundwater Gleys,Groundwater Gley,204,153,255,"['RPM37OS01_P1100092.JPG', 'RPM37OS01_P1100097.JPG']",LIVE,0660RK,Roosky,1,0660RK
0660TK,Tourmakeady,Fine loamy drift with siliceous stones,Fine loamy,drift with siliceous stones,drift,siliceous stones,Humic Groundwater Gleys,Groundwater Gley,204,153,255,[],LIVE,0660TK,Tourmakeady,0,0660TK
0690KOA,Knockroe anthropic,Coarse loamy drift with siliceous stones,Coarse loamy,drift with siliceous stones,drift,siliceous stones,Anthric Groundwater Gleys,Groundwater Gley,204,153,255,[],LIVE,0690KOA,Knockroe anthropic,0,0690KOA
0700BB,Ballybrannagh,Clayey over shale bedrock,Clayey,over shale bedrock,bedrock,shale,Typical Surface-water Gleys,Surface Water Gley,141,180,226,[],LIVE,0700BB,Ballybrannagh,1,0700BB
0700BY,Ballyphilip,Fine loamy drift with igneous and metamorphic stones,Fine loamy,drift with igenous and metamorphic stones,drift,igneous and metamorphic stones,Typical Surface-water Gleys,Surface Water Gley,141,180,226,"['RPR30GJ01_P1100186.JPG', 'RPS36RC17_P1040699.JPG', 'RPS36RC17_P1040705.JPG']",LIVE,0700BY,Ballyphilip,1,0700BY
0700CK,Coolykereen,Fine silty drift with siliceous stones,Fine silty,drift with siliceous stones,drift,siliceous stones,Typical Surface-water Gleys,Surface Water Gley,141,180,226,"['RPQ80GJ03_DSCN0931.JPG', 'RPQ80GJ03_DSCN0946.JPG', 'RPS45RC13_P1020877.JPG', 'RPS45RC13_P1020888.JPG']",LIVE,0700CK,Coolykereen,1,0700CK
0700DK,Drumkeeran,Clayey drift with siliceous stones,Clayey,drift with siliceous stones,drift,siliceous stones,Typical Surface-water Gleys,Surface Water Gley,141,180,226,[],LIVE,0700DK,Drumkeeran,1,0700DK
0700KCR,Kilcreen,Coarse loamy over gneiss and schist bedrock,Coarse loamy,over gneiss and schist bedrock,bedrock,gneiss and schist,Typical Surface-water Gleys,Surface Water Gley,141,180,226,"['RPC22BR01_P1090899.JPG', 'RPC22BR01_P1090907.JPG', 'RPC22BR02_P1090909.JPG', 'RPC22BR02_P1090917.JPG']",LIVE,0700KCR,Kilcreen,1,0700KCR
0700KR,Kilrush,Fine loamy drift with siliceous stones,Fine loamy,drift with siliceous stones,drift,siliceous stones,Typical Surface-water Gleys,Surface Water Gley,141,180,226,"['RPH50GJ01_P1011052.jpg', 'RPH50GJ01_P1011072.jpg', 'RPH61GJ01_DSCN0236.JPG', 'RPH61GJ01_DSCN0253.JPG', 'RPH61GJ03_DSCN0274.JPG', 'RPH61GJ03_DSCN0276.JPG', 'RPM99GJ03_DSCN0483.JPG', 'RPM99GJ03_DSCN0506.JPG', 'RPO25BR01_P1020898.JPG', 'RPO25BR01_P1020902.JPG', 'RPQ72GJ01_DSCN0834.JPG', 'RPQ72GJ01_DSCN0848.JPG', 'RPQ90GJ02_DSCN0911.JPG', 'RPQ90GJ02_DSCN0927.JPG', 'RPR00GJ01_DSCN0978.JPG', 'RPR00GJ01_DSCN0990.JPG', 'RPS24RC21_P1020952.JPG', 'RPS24RC22_P1080357.JPG', 'RPS24RC22_P1080361.JPG', 'RPW48GJ01_P1030958.JPG', 'RPW48GJ01_P1030967.JPG']",LIVE,0700KR,Kilrush,1,0700KR
0700LC,Lismeelcunnin,Fine silty over shale bedrock,Fine silty,over shale bedrock,bedrock,shale,Typical Surface-water Gleys,Surface Water Gley,141,180,226,"['RPR30BR01_P1030286.JPG', 'RPR30BR01_P1030292.JPG']",LIVE,0700LC,Lismeelcunnin,1,0700LC
0700MC,Macamore,Fine loamy over calcareous Irish sea till,Fine loamy,over calcareous Irish sea till,drift,calcareous Irish sea till,Typical Surface-water Gleys,Surface Water Gley,141,180,226,[],LIVE,0700MC,Macamore,1,0700MC
0700NW,Newport,Coarse loamy drift with siliceous stones,Coarse loamy,drift with siliceous stones,drift,siliceous stones,Typical Surface-water Gleys,Surface Water Gley,141,180,226,"['RPQ61GJ01_DSCN0723.JPG', 'RPQ61GJ01_DSCN0737.JPG', 'RPQ90ED01_DSC_0176.JPG', 'RPQ90ED01_DSC_0179.JPG', 'RPT01GJ01_DSCN8801.JPG', 'RPT01GJ01_DSCN8806.JPG']",LIVE,0700NW,Newport,1,0700NW
0700ST,Straffan,Fine loamy drift with limestones,Fine loamy,drift with limestones,drift,limestones,Typical Surface-water Gleys,Surface Water Gley,141,180,226,"['RPO19BR01_P1020919.JPG', 'RPO19BR01_P1020921.JPG', 'RPO19BR02_P1020926.JPG', 'RPO19BR02_P1020932.JPG', 'RPS43RC08_P1020850.JPG', 'RPS43RC08_P1020855.JPG']",LIVE,0700ST,Straffan,1,0700ST
0700TR,Tramore,Loamy drift with igneous and metamorphic stones,Loamy,drift with igenous and metamorphic stones,drift,igneous and metamorphic stones,Typical Surface-water Gleys,Surface Water Gley,141,180,226,[],LIVE,0700TR,Tramore,1,0700TR
